Timestamp,Value,Result
1728538951.33091,73,Forward
1728539061.7974224,70,Backward
1728538989.9851694,0,Backward
1728539001.0308838,0,Backward
1728538947.2421494,73,Forward
1728539063.844488,68,Backward
1728538950.8199606,67,Forward
1728538959.135855,0,Forward
1728538946.669092,71,Forward
1728538765.6692195,0,stop
1728538952.2782302,48,Forward
1728539054.2703738,63,Backward
1728538900.5678017,67,Forward
1728538950.656404,68,Forward
1728539058.7116413,67,Backward
1728538994.2335396,63,Backward
1728538894.6031964,18,Forward
1728539000.0415523,0,Backward
1728539046.5825968,60,Backward
1728538900.5050836,66,Forward
1728538763.5694518,0,stop
1728538771.7977357,31,stop
1728539054.7524805,63,Backward
1728538986.2906866,26,Backward
1728538961.5325365,0,Forward
1728539045.532205,60,Backward
1728538768.8548465,38,stop
1728539050.9522865,71,Backward
1728538992.6041288,0,Backward
1728538765.9831069,12,stop
1728539046.6818783,60,Backward
1728538988.912246,0,Backward
1728538771.1354697,83,stop
1728538766.622134,0,stop
1728538997.1719356,0,Backward
1728539065.1677194,71,Backward
1728538948.797197,0,Forward
1728538951.9080255,51,Forward
1728538993.9907005,63,Backward
1728539052.656453,68,Backward
1728538952.5073,52,Forward
1728538956.455649,0,Forward
1728539062.7090871,58,Backward
1728538893.413051,0,Forward
1728538892.5582483,9,Forward
1728538771.5140202,79,stop
1728539061.1168015,70,Backward
1728538960.6967309,0,Forward
1728538771.8730068,11,stop
1728539006.874464,70,Backward
1728538955.548342,0,Forward
1728538959.689957,0,Forward
1728538771.2127345,88,stop
1728538767.3571537,0,stop
1728539050.6247156,70,Backward
1728539065.0712984,70,Backward
1728539057.8506758,71,Backward
1728539012.7331166,0,Backward
1728539046.1366966,6,Backward
1728539064.2613127,68,Backward
1728539054.77819,63,Backward
1728538959.8077087,0,Forward
1728538766.830227,44,stop
1728538772.5141275,0,stop
1728539045.740277,0,Backward
1728538954.0570369,0,Forward
1728538998.4757392,0,Backward
1728538999.807645,0,Backward
1728538905.5542924,71,Forward
1728539001.1914835,42,Backward
1728538901.6469865,33,Forward
1728539052.535026,71,Backward
1728539061.7157106,71,Backward
1728538763.658127,0,stop
1728539055.155745,72,Backward
1728538955.100907,0,Forward
1728538988.223757,55,Backward
1728539001.4201095,40,Backward
1728538900.000465,72,Forward
1728538955.50692,0,Forward
1728538952.96829,0,Forward
1728538770.8906236,0,stop
1728538945.390095,74,Forward
1728539046.0402424,1,Backward
1728539042.2559257,73,Backward
1728538946.3178053,71,Forward
1728539066.360425,73,Backward
1728539000.9307714,0,Backward
1728539003.5868306,41,Backward
1728539044.6112564,73,Backward
1728539013.6621778,60,Backward
1728539051.0273762,72,Backward
1728538767.932102,86,stop
1728538768.7975297,23,stop
1728538948.489783,0,Forward
1728538773.485818,78,stop
1728538772.975643,0,stop
